Duplicates of E:\Fotos_early grouped by Folders
E:\Fotos_early\Поездки\Лето 2009 Крым\Где мы жили -> 3.70% of dublicates: 1 from 27 files in a folder
E:\Fotos_early\Поездки\Лето 2009 Крым\Надюха -> 9.09% of dublicates: 1 from 11 files in a folder
E:\Fotos_early\Поездки\Лето 2009 Крым\Пещерный город и монастырь -> 0.31% of dublicates: 1 from 320 files in a folder
E:\Fotos_early\Поездки\Лето 2009 Крым\Севастополь -> 1.47% of dublicates: 1 from 68 files in a folder
E:\Fotos_early\-=ЛЫЖИ=-\Красия 10.02.2010 -> 8.33% of dublicates: 1 from 12 files in a folder
E:\Fotos_early\netbook\old_phone\фотки илличевск и тп я -> 6.67% of dublicates: 1 from 15 files in a folder
E:\Fotos_early\netbook\old_phone\27.01.08 beskid -> 0.94% of dublicates: 1 from 106 files in a folder
E:\Fotos_early\netbook\old_phone\28.04.07\camera_semc -> 11.11% of dublicates: 5 from 45 files in a folder
E:\Fotos_early\netbook\old_phone\kiev\pictures\2007-02-22-1854-59 -> 1.20% of dublicates: 1 from 83 files in a folder
E:\Fotos_early\netbook\old_phone\zheka -> 75.00% of dublicates: 3 from 4 files in a folder
E:\Fotos_early\netbook\old_phone\28.04.07\camera_semc\100MSDCF -> 100.00% of dublicates: 1 from 1 files in a folder
E:\Fotos_early\netbook\old_phone\29.07.07\after kiev -> 5.26% of dublicates: 1 from 19 files in a folder
E:\Fotos_early\unsorted\different -> 8.33% of dublicates: 1 from 12 files in a folder
E:\Fotos_early\Поездки\Крым 2010\карта 1 -> 0.14% of dublicates: 1 from 696 files in a folder
E:\Fotos_early\Поездки\Лето 2008 Крым\Балаклава -> 0.61% of dublicates: 1 from 164 files in a folder
E:\Fotos_early\Поездки\Лето 2008 Крым\Генуэзская крепость -> 0.68% of dublicates: 1 from 148 files in a folder
E:\Fotos_early\Поездки\Лето 2008 Крым\Кара-Даг -> 0.70% of dublicates: 1 from 142 files in a folder
E:\Fotos_early\Поездки\Лето 2008 Крым\мыс Хамелеон -> 1.14% of dublicates: 1 from 88 files in a folder
E:\Fotos_early\Поездки\Лето 2008 Крым\отдых в Новом Свете -> 1.22% of dublicates: 1 from 82 files in a folder
E:\Fotos_early\Поездки\Лето 2008 Крым\Севастополь -> 1.02% of dublicates: 1 from 98 files in a folder
E:\Fotos_early\Поездки\Лето 2008 Крым\Херсонес -> 0.70% of dublicates: 1 from 142 files in a folder
E:\Fotos_early\Поездки\Лето 2009 Крым\Арпатские каскады -> 1.09% of dublicates: 1 from 92 files in a folder
E:\Fotos_early\Поездки\Лето 2009 Крым\Коктебель и его окресности\New Folder -> 61.11% of dublicates: 11 from 18 files in a folder
E:\Fotos_early\Походы\Поход по Боржаве 180410\vkontakt\Новая папка -> 2.56% of dublicates: 1 from 39 files in a folder
E:\Fotos_early\Походы\Поход по Боржаве 180410\Оксана -> 1.19% of dublicates: 1 from 84 files in a folder
E:\Fotos_early\Тусовки\new year 2009\Продолжение банкета (день 2) -> 1.10% of dublicates: 1 from 91 files in a folder
E:\Fotos_early\Походы\Поход на В.Верх\phone -> 7.14% of dublicates: 3 from 42 files in a folder
E:\Fotos_early\netbook\sakury i ne sakury -> 34.19% of dublicates: 40 from 117 files in a folder
E:\Fotos_early\unsorted -> 18.27% of dublicates: 19 from 104 files in a folder
E:\Fotos_early\netbook\se -> 20.00% of dublicates: 1 from 5 files in a folder
E:\Fotos_early\Тусовки\new year 2008 -> 0.46% of dublicates: 1 from 217 files in a folder
E:\Fotos_early\unsorted\nomer -> 16.67% of dublicates: 1 from 6 files in a folder
E:\Fotos_early\Поездки\Крым 2010\карта 2 -> 1.00% of dublicates: 1 from 100 files in a folder
E:\Fotos_early\Поездки\Лето 2009 Крым\Карадаг -> 4.84% of dublicates: 3 from 62 files in a folder
E:\Fotos_early\Поездки\Лето 2009 Крым\Пещеры и водопад Су-Учхан -> 0.46% of dublicates: 1 from 219 files in a folder
E:\Fotos_early\Поездки\Лето 2009 Крым\Судакская крепость и Новый Свет -> 0.60% of dublicates: 1 from 168 files in a folder
E:\Fotos_early\Поездки\ЧЕРНОВЦЫ Каменец Хотин Львов 2009\New Folder -> 25.00% of dublicates: 4 from 16 files in a folder
E:\Fotos_early\Мероприятия\Кришталеві грони 2009 (Виноградово)\Видео -> 8.33% of dublicates: 1 from 12 files in a folder
E:\Fotos_early\Тусовки\киевстар -> 6.67% of dublicates: 1 from 15 files in a folder
E:\Fotos_early\Поездки\Лето 2008 Крым\Дворцы ЮБК -> 0.44% of dublicates: 1 from 227 files in a folder
E:\Fotos_early\Поездки\Лето 2008 Крым\Коктебель -> 1.52% of dublicates: 1 from 66 files in a folder
"E:\Fotos_early\Поездки\Лето 2009 Крым\Симферополь, переезды, всякое -> 11.11% of dublicates: 1 from 9 files in a folder"
E:\Fotos_early\Поездки\Лето 2009 Крым\Балаклава и м.Ай-йа\Новая папка -> 58.33% of dublicates: 7 from 12 files in a folder
E:\Fotos_early\Поездки\Лето 2009 Крым\Карадаг\New Folder -> 18.18% of dublicates: 2 from 11 files in a folder
E:\Fotos_early\Поездки\Лето 2009 Крым\Коктебель и его окресности -> 11.49% of dublicates: 10 from 87 files in a folder
E:\Fotos_early\Поездки\Лето 2009 Крым\Мой поход на г.Клементьева -> 11.22% of dublicates: 11 from 98 files in a folder
E:\Fotos_early\Поездки\Лето 2009 Крым\Мой поход на г.Клементьева\New Folder -> 68.75% of dublicates: 11 from 16 files in a folder
E:\Fotos_early\Поездки\ЧЕРНОВЦЫ Каменец Хотин Львов 2009 -> 0.48% of dublicates: 3 from 630 files in a folder
E:\Fotos_early\Тусовки\Жекина и Наташина свадьба -> 0.55% of dublicates: 1 from 182 files in a folder
E:\Fotos_early\Тусовки\САУНА 14.02.09 -> 2.00% of dublicates: 1 from 50 files in a folder
